2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){var g=this||self;\nfunction aa(a){var b=typeof...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52'}]}
2025-07-23 20:33:32 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/execute/sync HTTP/1.1" 200 0
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/clear {}
2025-07-23 20:33:32 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/clear HTTP/1.1" 200 0
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/value {'text': 'T', 'value': ['T']}
2025-07-23 20:33:32 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/value HTTP/1.1" 200 0
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/value {'text': 'a', 'value': ['a']}
